id,context,question,answer0,answer1,answer2,answer3,label
3RQVKZ7ZRMX6PF563EC988ZNFSP72J##3DIP6YHAPF757TKZW55IDT0WD7ME8F##AJ7NSZOAFP05U##Blog_1096124##q1_a1##34KYK9TV2TMMWQPUAA3V4SYNXA8BS2,"Hi there , Friday 22nd August - I went to the Panic At The Disco concert at Acer Arena . It was really good . I was n't too sure on Panic because I do n't know a lot of songs off their new album , but they played the ones that I knew , and quite a few old ones which I also knew . Apart from the crappy first band , Cobra Starship played first and they were really good .",What may happen if you go the Panic At The Disco concert ?,I would think that it 's pleasant .,I 'd want the first band to play more .,I would think that it is n't pleasant .,I would wish that I saw Cobra Starship instead of Panic At The Disco .,0
3OJX0UFJ0Z54TL3UHX8Z0PXD1WD9UV##32SCWG5HII275HRUS7CVVTF0HAH6PI##A2CMYWI1J292YJ##Blog_1257072##q2_a1##3KG2UQJ0ML2CKJZELWJZ0NJGW9OQN0,"This July , a New York City police officer and a cyclist had an altercation of some sort . The cop claimed the man had been weaving in and out of traffic and tried to hit him with his bike , and arrested him for assault , resisting arrest , and disorderly conduct . The man said the cop had shoved him off his bike for no reason .",What was this New York City police officer doing before the incident ?,He was walking or standing on street .,He was on a bicycle .,He was driving a car .,None of the above choices .,0
3OJX0UFJ0Z54TL3UHX8Z0PXD1WD9UV##32SCWG5HII275HRUS7CVVTF0HAH6PI##A2CMYWI1J292YJ##Blog_1257072##q2_a1##3P888QFVX58U24ZQMBJCFCJLMJTQOF,"This July , a New York City police officer and a cyclist had an altercation of some sort . The cop claimed the man had been weaving in and out of traffic and tried to hit him with his bike , and arrested him for assault , resisting arrest , and disorderly conduct . The man said the cop had shoved him off his bike for no reason .",What was this New York City police officer doing before the incident ?,He was on a bicycle .,He was driving a car .,None of the above choices .,He was on foot .,3
3HO4MYYR12MHB21WJQ5NGF6BBV4U64##3QFUFYSY9ZDHZHYMVGNBM1HIJA6F4F##AO33H4GL9KZX9##Blog_124012##q1_a1##3XH7ZM9YX48R7IAKX1PUNCY1N699RL,"I ask tough questions during my critique . It is easy to fall in love with your ideas , which is why it is imperative that you have an outsider review and critique your plan . This process will help you uncover weaknesses that you may not perceive in your business plan .",What might I continue to do after this ?,I might continue to critique the business idea to discover the weaknesses .,I might stop to critique the business idea to discover the weaknesses .,I might continue to critique the business idea to discover the strengths .,I might ease up on critiques on the business idea to discover the weaknesses .,0
33TGB4G0LPFFU463K8O3BWXTPLWXTA##3HPZF4IVNNRQUCSWTLLHUK0MH1QCY5##A1I72NHC21347A##Blog_114581##q1_a1##3TL87MO8CO3P5U6KV3SQBWBDKCFLFZ,"Sensible people would have checked the weather or preemptively backed the truck into the carport . But that 's not the kind of people we are , so I pulled on a sweatshirt , backed the other two cars out of the driveway , and had Mike back the truck in safely . I hope our neighbors were entertained . My pajamas legs were soaked .",what may have happened before this event ?,The pickup fit around the cars and into carport,We left the truck and its load just get rained on,None of the above choices .,"The cars were in the drive so we left the pickup truck , with its load , at end of drive",3
33TGB4G0LPFFU463K8O3BWXTPLWXTA##3HPZF4IVNNRQUCSWTLLHUK0MH1QCY5##A1I72NHC21347A##Blog_114581##q1_a2##3EPG8DX9LM4NUISTHJ8O61TK0S25PY,"Sensible people would have checked the weather or preemptively backed the truck into the carport . But that 's not the kind of people we are , so I pulled on a sweatshirt , backed the other two cars out of the driveway , and had Mike back the truck in safely . I hope our neighbors were entertained . My pajamas legs were soaked .",what may have happened before this event ?,We left the truck and its load just get rained on,None of the above choices .,We did n't check   weather to know if we should move the vehicles around to protect the load,The pickup fit around the cars and into carport,2
3PUOXASB571LFKX4NK77HHCS37L9ZZ##3KAKFY4PGV0GRCH8WAODFT24K4BI30##A1OPGPTQJ48XOY##Blog_1224032##q2_a1##3YOAVL4CA2VZC3QZQNNGS7PKAOXZ4D,"( See ! I ' m working on not being so damn shy ! ) I got in and got excellent seats . I think I was on the 3rd row , almost directly in front of Michael Rosenbaum !",What must they decided to do before attending the Rosenbaum event ?,None of the above choices .,They must purchase tickets,They must clear the schedule for the day,They must finish all their work and assignments,1
3KLL7H3EGDZXL6ADKZ6W9SXKYHAHV0##3RYC5T2D74R0R0PEKVFT6O6WD0FPRP##AXJ1PE87PD0KK##Blog_275314##q1_a1##3GVPRXWRPJ8A00J8SHX1VO645LHI7V,"The night before my gears stopped working on my bike and Jake was kind enough to lend me his bike . The gears on his bike worked great , it was just a good twenty pounds heavier than the bike I was used to . I managed to lug it off the bike rake and wander over to the starting area .",What happened after I got to the starting area ?,None of the above choices .,I started a race using Jake 's bike .,The gears on my bike stopped working .,I started a race using my own bike .,1
3KLL7H3EGDZXL6ADKZ6W9SXKYHAHV0##3RYC5T2D74R0R0PEKVFT6O6WD0FPRP##AXJ1PE87PD0KK##Blog_275314##q1_a2##30EMX9PEVMXNPTTOGNGO3VHDK3JKSV,"The night before my gears stopped working on my bike and Jake was kind enough to lend me his bike . The gears on his bike worked great , it was just a good twenty pounds heavier than the bike I was used to . I managed to lug it off the bike rake and wander over to the starting area .",What happened after I got to the starting area ?,None of the above choices .,The gears on my bike stopped working .,I started a race using my own bike .,I did n't perform as well as usual at biking .,3
37SOB9Z0SSVFVTRKRAFOIPY8OAOL34##35L9RVQFCPG0UBJ75C2T2QRPXNGUHT##A394JO4NEPCY3M##Blog_1101342##q1_a1##3PGQRAZX04YI9YI5K2HFC3WOIEUSYS,"I do n't like working with lying , backstabbing jerks . So i called him today and he still denied most of it and said that he had a suprise for all of us which amanda wo nt like but is good for him . CAN'T FUCKIN WAIT FOR THAT TIME BOMB .",What may have happened before this story ?,Amanda gave the narrator a big surprise,The narrator was lied to by Amanda,The narrator was lied to by a co worker,None of the above choices .,2
