index	sentence1	sentence2	label
0	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. Is Islam still the majority religion?	it sometimes was	no
1	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. Is Islam still the majority religion?	yes	yes
2	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. Is Islam still the majority religion?	it never was	no
3	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	a month	no
4	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	a billion weeks	no
5	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	hundreds of years	yes
6	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	400 hours	no
7	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	1000 seconds	no
8	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	1000 years	yes
9	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	a billion years	no
10	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	a billion hours	no
11	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How long has a significant Christian minority remained?	hundreds of hours	no
12	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. What happened before Islam was the majority religion?	christianity was the majority religion	yes
13	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. What happened before Islam was the majority religion?	the end of white-minority rule	no
14	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. What happened before Islam was the majority religion?	he emerged as the heir apparent	no
15	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How often has Christianity been the major religion?	he emerged as a peacemaker	no
16	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How often has Christianity been the major religion?	the last two decades several times	no
17	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How often has Christianity been the major religion?	never	no
18	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How often has Christianity been the major religion?	several weeks later	no
19	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How often has Christianity been the major religion?	it acquire a majority interest	no
20	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How often has Christianity been the major religion?	he emerged as the heir apparent	no
21	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How often has Christianity been the major religion?	the end of white-minority rule	no
22	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. How often has Christianity been the major religion?	a dozen times	no
23	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. What day did Islam emerge as the majority religion?	first sunday	no
24	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. What day did Islam emerge as the majority religion?	later sunday	no
25	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. What day did Islam emerge as the majority religion?	sunday	no
26	Islam later emerged as the majority religion during the centuries of Ottoman rule, though a significant Christian minority remained. What day did Islam emerge as the majority religion?	7th month	no
